trial,ok,reason,fitness,hinges,xlen,dx,fallback
0,True,,-5.768314050441154,14,16,0.039959032066692046,False
1,True,,-5.820276568895128,14,16,-0.01212766239447205,False
2,True,,-5.811259637664298,14,16,-0.00294606316983681,False
3,True,,-5.805893205260537,13,16,0.0026685681639038172,False
4,True,,-5.84879837529128,13,16,-0.04041782087489976,False
5,True,,-5.81056532577505,13,16,-0.0019364893300575226,False
6,True,,-5.807354698826847,13,16,0.0011492251288065525,False
7,True,,-5.808796273689114,13,16,-0.00019679295673880048,False
8,True,,-5.707750767403829,14,16,0.10070155745070064,False
9,True,,-5.794836363769221,13,16,0.013720515878016926,False
10,True,,-5.886318499428036,14,16,-0.07795650093826068,False
11,True,,-5.79999030321768,15,16,0.008345241731490982,False
12,True,,-5.795465519008654,13,16,0.013180649100053676,False
13,True,,-5.833505418538071,14,16,-0.024939303278300184,False
14,True,,-5.810739110126606,13,16,-0.002158636039383599,False
15,True,,-5.793245834260925,13,16,0.015189369478896153,False
16,True,,-5.822416400372383,13,16,-0.014030889032310867,False
17,True,,-5.804448971907237,13,16,0.004106123803467532,False
18,True,,-5.807284873065872,14,16,0.0016996472005766927,False
19,True,,-5.807471071328214,13,16,0.001120107578892915,False
20,True,,-5.923657063092261,13,16,-0.11452437372320423,False
21,True,,-5.902827517045676,13,16,-0.09414396032565275,False
22,True,,-5.809186785644261,13,16,-0.000509515551478934,False
23,True,,-5.803327882863255,13,16,0.005336770749788999,False
24,True,,-5.8999479615767205,13,16,-0.09161534836874297,False
25,True,,-5.804199612250007,13,16,0.004320964676651884,False
26,True,,-5.810846895640285,15,16,-0.0022193880352591178,False
27,True,,-5.811419333586083,12,16,-0.0032263269575766307,False
28,True,,-5.828242707496528,13,16,-0.01979523438595321,False
29,True,,-5.806205447755251,13,16,0.002444777488025851,False
30,True,,-5.808387956822261,14,16,0.0002577912784714753,False
31,True,,-5.846759690071699,13,16,-0.03823969250400994,False
32,True,,-5.843728353956632,14,16,-0.03519050095604248,False
33,True,,-5.802036848536662,15,16,0.006606038739023323,False
34,True,,-5.812929056831222,12,16,-0.004687110118765658,False
35,True,,-5.878163577200241,13,16,-0.06917581559273478,False
36,True,,-5.849412035720811,13,16,-0.04100627392185496,False
37,True,,-5.784700143396759,13,16,0.02447916658581395,False
38,True,,-5.910298358789871,13,16,-0.10166489047471017,False
39,True,,-5.808854222939838,13,16,-0.00019368557951759957,False
40,True,,-5.810570945645564,13,16,-0.0020558132270787066,False
41,True,,-5.812452639481385,14,16,-0.003566483589017233,False
42,True,,-5.811781829423649,13,16,-0.0029804603371764715,False
43,True,,-5.917945857546655,13,16,-0.10999282611711625,False
44,True,,-5.916486510951928,13,16,-0.10819575119894365,False
45,True,,-5.811292549069129,12,16,-0.0027847699297880446,False
46,True,,-5.811501285072268,13,16,-0.002876458631665524,False
47,True,,-5.812186019670166,13,16,-0.004448946186058067,False
48,True,,-5.807750452788354,13,16,0.0009587254846843418,False
49,True,,-5.811120783069297,15,16,-0.002463928056827047,False
